,title,author,count,asin_list,narrator_count,narrator_list
8127,The Midnight Bell,Jack Higgins,2,"['B01N1GVAAG', 'B0727X2DXB']",2,"['Jonathan Oliver', 'Michael Page']"
8130,The Midas Legacy,Andy McDermott,2,"['B06XJD3T8X', 'B0725ZHY6W']",2,"['Gareth Armstrong', 'Gildart Jackson']"
8132,The Messenger of Athens,Anne Zouroudi,2,"['B00HJ6QIYK', 'B003KJIGVI']",2,"['Sean Barrett', 'Gildart Jackson']"
8133,Deadweather and Sunrise,Geoff Rodkey,2,"['B008669F2O', 'B009T920WO']",2,"['Hugh Lee', 'Fred Berman']"
8136,The Meryl Streep Movie Club,Mia March,2,"['B0089Y7FQG', 'B009OG4X22']",2,"['Laurel Lefkow', 'Joy Osmanski']"
8137,Hello America,J. G. Ballard,2,"['B00DDU2NKY', 'B00LUVHHQS']",2,"['David Ledoux', 'William Gaminara']"
8142,Dean and Me,"Jerry Lewis, James Kaplan",2,"['B002V5A3NQ', 'B002V8H8Q8']",2,"['Stephen Hoye', 'Gregory Jbara']"
8143,The Black Book,Ian Rankin,2,"['B00F8LDM5G', 'B004W994JI']",2,"['James Macpherson', 'Michael Page']"
8144,The Mere Wife,Maria Dahvana Headley,2,"['B07KFML256', 'B07DWC9V4B']",2,"['Laurel Lefkow', 'Susan Bennett']"
8148,Dear Evelyn,Kathy Page,2,"['B07MWFB6X4', '1528842421']",2,"['Gemma Dawson', 'Matt Addis']"
8149,The Black Dahlia,James Ellroy,2,"['B002V8H8UE', 'B01B4ZAEYQ']",2,"['Jeff Harding', 'Stephen Hoye']"
8157,The Minotaur,Barbara Vine,2,"['B002VACWHG', 'B00AKI8QTY']",2,"['Rosalyn Landor', 'Siân Thomas']"
8158,The Minor Adjustment Beauty Salon,Alexander McCall Smith,2,"['B00FK8P0RA', 'B00FL19DFG']",2,"['Adjoa Andoh', 'Lisette Lecat']"
8162,The Big Nowhere,James Ellroy,2,"['B013J0ZV7Y', 'B01FYBOS16']",2,"['Jeff Harding', 'Jason Culp']"
8164,The Big Over Easy,Jasper Fforde,2,"['B002V5B9HK', '1529378265']",2,"['Simon Prebble', 'Luke Thompson']"
8165,The Big Oyster,Mark Kurlansky,2,"['B002V8HO44', 'B002V57U7I']",2,"['Tom Stechschulte', 'John H. Mayer']"
8168,Her Last Whisper,Karen Robards,2,"['B00MP2FVHS', 'B06WLM86WX']",2,"['Laurel Lefkow', 'Ann Marie Lee']"
8169,The Big Six,Arthur Ransome,2,"['B002V8N41Q', 'B00E4411RE']",2,"['Gareth Armstrong', 'Alison Larkin']"
8173,The Billion Dollar Spy,David E. Hoffman,2,"['B00XKCMCH4', 'B07NDD54BK']",2,"['John Moraitis', 'Dan Woren']"
8175,Her Every Fear,Peter Swanson,2,"['B01LZYTA9G', 'B01MZ07MOR']",2,"['Eva Kaminsky', 'Juliette Burton']"
8176,The Billionaire Raj,James Crabtree,2,"['B07DXBLRQC', 'B086DSVBXW']",2,"['Sartaj Garewal', 'Shridhar Solanki']"
8178,The Mill River Redemption,Darcie Chan,2,"['B00M0P0OSQ', 'B01IW0KMFW']",2,"['Liza Ross', 'Amy Rubinate']"
8179,The Mill River Recluse,Darcie Chan,2,"['B00KNASFSG', 'B00DHKJG6E']",2,"['Liza Ross', 'Amy Rubinate']"
8181,The Art of Aging,Sherwin B. Nuland,2,"['B002V5IVBM', 'B002V01DDA']",2,"['Sherwin B. Nuland', 'Arthur Morey']"
8182,The Nightmare Stacks,Charles Stross,2,"['B06XRKS1KM', 'B01GEZP5LI']",2,"['Gideon Emery', 'Jack Hawkins']"
8186,Thank You for Being Late,Thomas L. Friedman,2,"['B01N5EQGAW', 'B01M8JOLZL']",2,"['Mr Oliver Wyman', 'Oliver Wyman']"
8187,Human Traces,Sebastian Faulks,2,"['B0036NDJCY', 'B0032N4TT0']",2,"['James Adams', 'Samuel West']"
8190,Thanks for the Memories,Cecelia Ahern,2,"['B002V5CTHO', 'B00QUE21OS']",2,"['Amy Creighton', 'Sile Bermingham']"
8191,The Plant Paradox,Steven R. Gundry MD,2,"['0062966626', 'B073KBJ2T1']",2,"['Steven R. Gundry MD', 'Christopher Solimene']"
8193,The Plains of Passage,Jean M. Auel,2,"['B00B29YN7O', 'B002VAELF2']",2,"['Sandra Burr', 'Rowena Cooper']"
8194,Human Action,Ludwig von Mises,2,"['B004JNRMNM', 'B006FYJTZC']",2,"['Jeff Riggenbach', 'Bernard Mayes']"
8198,The Pisces,Melissa Broder,2,"['B07BSFSXQD', 'B07B9KSKWT']",2,"['Melissa Broder', 'Isabella Inchbald']"
8199,The Porcelain Thief,Huan Hsu,2,"['B00TG18K1K', 'B00UKCZANU']",2,"['Huan Hsu', 'Mike Grady']"
8203,The Pioneers,James Fenimore Cooper,2,"['B002V5CKF0', 'B071HM9Y9D']",2,"['Gary W. Sherwin', 'Jim Killavey']"
8205,Cranford,Elizabeth Cleghorn Gaskell,2,"['B002V8H250', 'B06WRV4XDT']",2,"['Davina Porter', 'Sibella Denton']"
8206,Crash,J. G. Ballard,2,"['B0058UM8NE', '1980011281']",2,"['Alastair Sill', 'Roger Hampton']"
8212,Crashing Through,Robert Kurson,2,"['B002V8DGPU', 'B002V1LJ4C']",2,"['Christopher Evan Welch', 'Doug Ordunio']"
8215,Cover Her Face,P. D. James,2,"['B002VA8N4C', 'B00V6SN71O']",2,"['Daniel Weyman', 'Penelope Dellaporta']"
8216,Cover Girls,T.D. Jakes,2,"['B002V8KO96', 'B002V0QBLY']",2,"['Pamala Tyson', 'Lizan Mitchell']"
8220,The Pontiff in Winter,John Cornwell,2,"['B002VACLJK', 'B002VACFNC']",2,"['John Lee', 'Graeme Malcolm']"
8222,Hunting Evil,Guy Walters,2,"['B003FPE5NK', 'B003ZTZ1PM']",2,"['Daniel Philpott', 'Jonathan Cowley']"
8227,Hunter Killer,Patrick Robinson,2,"['B002V0M5YG', 'B074WFT4D4']",2,"['Simon Vance', 'George Guidall']"
8228,Tess of the D'urbervilles,Thomas Hardy,2,"['B073QM2SZJ', 'B00M8C2592']",2,"['George Doyle', 'Jennifer Dixon']"
8229,Country Passions,Rebecca Shaw,2,"['B002V0Q43E', 'B0032N52CS']",2,"['Susannah Harker', 'Gordon Griffin']"
8230,Tess of the d'Urbervilles,Thomas Hardy,2,"['B005BRQS5I', 'B002V0TGC0']",2,"['Davina Porter', 'Simon Vance']"
8231,The Poison Tree,Erin Kelly,2,"['B0060OAJ5G', 'B005477AI4']",2,"['Jennifer Ikeda', 'Alison Reid']"
8232,Hunted,Kevin Hearne,2,"['B00CP5CC9U', 'B00D9171T0']",2,"['Christopher Ragland', 'Luke Daniels']"
8233,Testimony,Scott Turow,2,"['B072FBTHF1', 'B07215Q8D7']",2,"['Wayne Pyle', 'Robert G. Slade']"
8235,Testosterone Rex,Cordelia Fine,2,"['B01NANCOFZ', 'B077GBXJC8']",2,"['Cat Gould', 'Willow Nash']"
8239,Texas Ranger,James Patterson,2,"['B07FN9NFYC', 'B07BFGVM9V']",2,"['Christopher Ragland', 'Christopher Ryan Grant']"
8240,Cousin Bette,Honore de Balzac,2,"['B002V02LP4', '1781983186']",2,"['Johanna Ward', 'Lucy Scott']"
8246,How to Succeed with NLP,Anne Watson,2,"['B00FX4DPXC', 'B003M8CI9S']",2,"['Emma Woolf', 'Erik Synnestvedt']"
8250,Crime and Punishment,Fyodor Dostoevsky,2,"['B003WH62D2', 'B002V8OCOO']",2,"['Walter Zimmerman', 'Dick Hill']"
8256,The Perfect Girlfriend,Karen Hamilton,2,"['1488206155', 'B075JLWYL3']",2,"['Anne Marie Lee', 'Anna Friel']"
8257,The Abbey,Chris Culver,2,"['B00CLD8QDW', 'B00H2X4ZEU']",2,"['Peter Ganim', 'John Chancer']"
8258,The Abducted,Roger Hayden,2,"['B01MRVA7XK', 'B06XKG53DM']",2,"['Gwendolyn Druyor', 'Tia Rider Sorensen']"
8259,The Abduction,Mark Gimenez,2,"['B005Q0WC7S', 'B06XG223P4']",2,"['Richard Ferrone', 'Buck Schirner']"
8260,The Perfect Couple,Elin Hilderbrand,2,"['B077NR7VVK', 'B07BGDLG8F']",2,"['Laurence Bouvard', 'Erin Bennett']"
8268,How to Find Love in a Bookshop,Veronica Henry,2,"['B074HFM1G1', 'B01COQ3DW4']",2,"['Julia Barrie', 'Fiona Hardingham']"
8272,How to Enjoy Your Life and Your Job,Dale Carnegie,2,"['B002ZF3FC8', 'B07DKSC6RK']",2,"['Rick Turner', 'Avinash Kumar Singh']"
8273,The Accident,Chris Pavone,2,"['B00I5SQDJG', 'B00JG860PG']",2,"['Mozhan Marno', 'Laurence Bouvard']"
8274,Critical Care,Richard Dooling,2,"['B00699ZSQW', 'B0031STOX2']",2,"['Richard Ferrone', 'John Edwardson']"
8276,Crime Scene,"Jonathan Kellerman, Jesse Kellerman",2,"['B071987HZ1', 'B0725G59HM']",2,"['Robert G. Slade', 'Dennis Boutsikaris']"
8277,The Piano Tuner,Daniel Mason,2,"['B002VA9W3S', 'B002V57UTQ']",2,"['Graeme Malcolm', 'Richard Matthews']"
8279,How to Stop Worrying and Start Living,Dale Carnegie,2,"['B002V1OJ3A', 'B07FCRQKDY']",2,"['Avinash Kumar Singh', 'Andrew MacMillan']"
8287,Creating Freedom,Raoul Martinez,2,"['B01N4RDYGY', 'B01I5SP76K']",2,"['Jot Davies', 'Steve West']"
8291,The 3rd Woman,Jonathan Freedland,2,"['B00Y3YK33S', 'B01148ZJQ6']",2,"['Kirsten Potter', 'Jennifer Woodward']"
8295,The 6 Most Important Decisions You'll Ever Make,Sean Covey,2,"['B074PBB8N6', 'B002VA9PU8']",2,"['Kirby Heyborne', 'Sean Covey']"
8297,The Persian Expedition,Xenophon,2,"['B002V8OD98', '1781982724']",2,"['David Timson', 'Pat Bottino']"
8299,How to Make Money,Paul Beck,2,"['B00ELIRQ4U', 'B00D6LU8YS']",2,"['Michael Larkin', 'Freda Cooper']"
8303,The 80/20 Principle,Richard Koch,2,"['B002VA9F4O', 'B00O9GSWRE']",2,"['Richard Aspel', 'Richard Koch']"
8305,The Perfect Poison,Amanda Quick,2,"['B00319P534', 'B002V5H4ME']",2,"['Patience Tomlinson', 'Anne Flosnik']"
8310,The Prisoner's Gold,Chris Kuzneski,2,"['B0168Y7C7A', 'B01596B9GS']",2,"['Andy Caploe', 'Dudley Hinton']"
8313,Teach Us to Sit Still,Tim Parks,2,"['B007007EAM', 'B00LEU8H8W']",2,"['Bronson Pinchot', 'Tim Parks']"
8318,Conqueror,Conn Iggulden,2,"['B006MY81CM', 'B005Z4TOTY']",2,"['Richard Ferrone', 'Richard E Grant']"
8319,I Love You Too Much,Alicia Drake,2,"['B078WZDWH4', 'B078GVRVCF']",2,"['Aaron Landon', 'Tom Lawrence']"
8320,Conquerors,Roger Crowley,2,"['B0182RGRIQ', 'B013VRY3CE']",2,"['Jonathan Davis', 'John Sackville']"
8324,Huntingtower,John Buchan,2,"['B00C7QY1ZA', 'B07PXTC9G4']",2,"['Steven Cree', 'David Beed']"
8326,Consent to Kill,Vince Flynn,2,"['B002V0KCTQ', 'B002UZKP6M']",2,"['Stephen Lang', 'George Guidall']"
8332,Conspiracy of Fools,Kurt Eichenwald,2,"['B002VA9HZ6', 'B002V8OCGC']",2,"['Stephen Lang', 'Robertson Dean']"
8333,Ted Williams,Leigh Montville,2,"['B002V5H7KS', 'B002UZL1DI']",2,"['Phillip Bosco', 'Scott Brick']"
8334,Conspirata,Robert Harris,2,"['B0036MUME8', 'B0036IUTAY']",2,"['Simon Jones', 'Oliver Ford Davies']"
8337,I Don't Know How She Does It,Allison Pearson,2,"['B005HEQX8M', 'B002V5B4FM']",2,"['Emma Fielding', 'Josephine Bailey']"
8339,The Private Patient,P. D. James,2,"['B002V8NAZ6', 'B00Q6ZBDM2']",2,"['Rosalyn Landor', 'Daniel Weyman']"
8341,I See You,Gregg Hurwitz,2,"['B002UZZ4L8', 'B0032N2TFQ']",2,"['William Hope', 'Scott Brick']"
8344,I Will Find You,Joanna Connors,2,"['B01LZGRX60', 'B01DFE0UHU']",2,"['Kate Udall', 'Laurence Bouvard']"
8346,The Progress Paradox,Gregg Easterbrook,2,"['B002UUKJ3Q', 'B002UZMUME']",2,"['uncredited', 'Jonathan Marosz']"
8348,Tarzan the Terrible,Edgar Rice Burroughs,2,"['B00VGXEWN6', 'B00QU62NHG']",2,"['Rusty Nelson', 'David Stifel']"
8350,Tarzan the Untamed,Edgar Rice Burroughs,2,"['B002V1OODK', 'B00NFS7TI0']",2,"['Patrick Lawlor', 'David Stifel']"
8353,The Professor,Charlotte Brontë,2,"['B002VA9ZPS', 'B002UZNAXW']",2,"['Frederick Davidson', 'James Wilby']"
8354,The Professor,Charlotte Bronte,2,"['B014HWW5BI', 'B004AZHKY0']",2,"['James Langton', 'Peter Joyce']"
8355,Confidence,Rosabeth Moss Kanter,2,"['B002VA8RIO', 'B002V5BR86']",2,"['Rosabeth Moss Kanter', 'Carrington Macduffie']"
8356,The Professionals,Owen Laukkanen,2,"['B007MHJ0U0', 'B00NVJBIP8']",2,"['Jeff Harding', 'Edoardo Ballerini']"
8359,The Prodigal Son,Colleen McCullough,2,"['B009PPM1LC', 'B00ADQQEQK']",2,"['Lewis Hancock', 'Charles Leggett']"
8362,I Take You,Eliza Kennedy,2,"['B00VHGKVSC', 'B00Y347FFC']",2,"['Julia Whelan', 'Katherine Mangold']"
8365,The Pro,Claude Harmon,2,"['B002V8LK6M', 'B002V8L12U']",2,"['David Bishins', 'Joseph Buttler']"
8366,Confusion,Elizabeth Jane Howard,2,"['B002V8M9F8', 'B0036GTIRG']",2,"['Eleanor Bron', 'Jill Balcon']"
8372,Copperhead,Bernard Cornwell,2,"['B002VACI0M', 'B00PKJ49KS']",2,"['Tom Parker', 'Andrew Cullum']"
8376,Corduroy Mansions,Alexander McCall Smith,2,"['B003WEHGB2', 'B0032N8WTI']",2,"['Andrew Sachs', 'Simon Prebble']"
8379,Cork Boat,John Pollack,2,"['B002V0PY8U', 'B002V0KTBM']",2,"['Jonathan Marosz', 'John Pollack']"
8380,The Power in a Link,Dave Gowel,2,"['B007Z5TGBC', 'B008S0P32O']",2,"['Jonathan Davis', 'Sean Pratt']"
8381,The Power and the Glory,Graham Greene,2,"['B004LZ2L9S', 'B006K2QJUM']",2,"['Andrew Sachs', 'Bernard Mayes']"
8383,Hush Hush,Laura Lippman,2,"['B00RDB2Z3E', 'B01KTWY88I']",2,"['Jan Maxwell', 'Katherine Fenton']"
8384,Corridors of the Night,Anne Perry,2,"['B01556TPGS', 'B00U1UBUSA']",2,"['David Collacci', 'Deirdra Whelan']"
8388,The Post-Birthday World,Lionel Shriver,2,"['B002V1CD88', 'B0036GTL3M']",2,"['Tanya Eby Sirois', 'Laurel Lefkow']"
8391,Cosmic,Frank Cottrell Boyce,2,"['B0036GPQAY', 'B0036GML8O']",2,"['Daniel Ryan', 'Kirby Heyborne']"
8393,The Possession of November Jones,Pat Herbert,2,"['B01M7SU0W4', 'B07PRDK6R9']",2,"['Karl R. Hart', 'Linda Mae Roper']"
8394,Cosmic Consciousness,Richard Maurice Bucke,2,"['B07S4PYPN6', 'B07PQMR1XN']",2,"['Keira Grace', 'Clay Lomakayu']"
8397,Hurlbut's Story of the Bible,Rev. Jesse Hurlbut D.D.,2,"['B002V19ZM0', 'B002V5D1SA']",2,"['Simon Vance', 'Robert Whitfield']"
8399,The Portrait,Iain Pears,2,"['B0036GRODG', 'B002V8MOOO']",2,"['Peter Capaldi', 'Simon Vance']"
8404,The President's Shadow,Brad Meltzer,2,"['B01BVYHIXU', 'B00UZUJYO8']",2,"['Jeff Harding', 'Scott Brick']"
8405,The President's Daughter,Jack Higgins,2,"['B003HU9SGM', 'B01I5QJINK']",2,"['Jonathan Oliver', 'Michael Page']"
8406,I Can See You,Karen Rose,2,"['B002V1O3W2', 'B006WP7AZA']",2,"['Elisabeth S. Rodgers', 'Elisabeth S. Rogers']"
8407,Tell No Lies,Gregg Hurwitz,2,"['B00EPKU8XU', 'B00E9A2O8S']",2,"['Jeff Harding', 'Scott Brick']"
8411,Telling Tales,Ann Cleeves,2,"['B074KH92GM', 'B07L49XK8M']",2,"['Julia Franklin', 'Janine Birkett']"
8412,The Preacher,Camilla Läckberg,2,"['B004XDW26U', 'B0036KOEJO']",2,"['Cameron Stewart', 'David Thorn']"
8413,The Prague Cemetery,Umberto Eco,2,"['B005UEXHLK', 'B007PJLKR6']",2,"['Sean Barrett', 'George Guidall']"
8416,Tempests and Slaughter,Tamora Pierce,2,"['B07FW492KK', 'B075DK9N21']",2,"['Sarah Ovens', 'Ari Meyers']"
8425,Hypothermia,Arnaldur Indridason,2,"['B004USQ58E', 'B00INYYGBE']",2,"['Saul Reichlin', 'George Guidall']"
8428,Cop Town,Karin Slaughter,2,"['B00IX1ETHS', 'B00J8MPW0O']",2,"['Kathleen Early', 'Lorelei King']"
8429,Cop to Corpse,Peter Lovesey,2,"['B0088QYNAG', 'B00CICM2EA']",2,"['Simon Prebble', 'Michael Tudor Barnes']"
8430,Ten Days That Shook the World,John Reed,2,"['B01MXSPP9E', 'B07Q2B548V']",2,"['Vince Whittaker', 'George Backman']"
8431,The Penny,"Joyce Meyer, Deborah Bedford",2,"['B002V0KOVW', 'B002V8H8TK']",2,"['Emily Janice Card', 'Ellen Archer']"
8432,Critical Mass,Sara Paretsky,2,"['B00FZ5QPM2', 'B00I0XBU9Y']",2,"['Liza Ross', 'Susan Ericksen']"
8433,The Nine,Jeffrey Toobin,2,"['B002VA90ZS', 'B002V5CN7A']",2,"['Don Leslie', 'Jeffrey Toobin']"
8436,Hounded,Kevin Hearne,2,"['B004V4OD04', 'B00CLUO5X0']",2,"['Christopher Ragland', 'Luke Daniels']"
8439,The Operators,Michael Hastings,2,"['B006YD8DOW', 'B01H456K7U']",2,"['Lloyd James', 'Dan Russell']"
8440,Hotwire,Alex Kava,2,"['B005CX4QTG', 'B005B1P986']",2,"['Regina Reagan', 'Tanya Eby']"
8441,Daddy's Girl,Lisa Scottoline,2,"['B002V18706', 'B002V8LC56']",2,"['Barbara Rosenblat', 'Kate Burton']"
8447,The Only Child,Andrew Pyper,2,"['B071S4WQGQ', 'B072L2GMPP']",2,"['Christina Delaine', 'Laurence Bouvard']"
8448,The One from the Other,Philip Kerr,2,"['B002V8HN7M', 'B002VACUU0']",2,"['John Lee', 'Jeff Harding']"
8449,The Alibi,Sandra Brown,2,"['B002VAEMFG', 'B002VACH0I']",2,"['Dylan Baker', 'Dennis Redfield']"
8454,The One Memory of Flora Banks,Emily Barr,2,"['B06XR2KRZ7', 'B01MQSSXG0']",2,"['Rosie Jones', 'Nicola Barber']"
8457,Dam Busters,James Holland,2,"['B00ICNQ2H2', 'B0080GJDQS']",2,"['John Lee', 'James Holland']"
8460,Damaged,Alex Kava,2,"['B003TP68FE', 'B005CXAE8S']",2,"['Jennifer Woodward', 'Tanya Eby']"
8461,The Omnivore's Dilemma,Michael Pollan,2,"['B002VAGMJA', 'B011SNZERG']",2,"['Scott Brick', 'MacLeod Andrews']"
8462,Damaged,Lisa Scottoline,2,"['B01GF2SGEI', '1472271475']",2,"['Rebecca Lowman', 'Katherine Fenton']"
8463,The Opposite of Love,Julie Buxbaum,2,"['B002V8KYK0', 'B002V5D4IM']",2,"['Emily Janice Card', 'Ariadne Meyers']"
8464,The Opposite of Me,Sarah Pekkanen,2,"['B07DRNVH45', 'B07HMWLNRR']",2,"['Madeline Maby', 'Madeleine Maby']"
8468,The Other House,Henry James,2,"['B004JK66KK', 'B002V1NX5K']",2,"['Frederick Davidson', 'Graeme Malcolm']"
8472,The Other Child,Charlotte Link,2,"['B00CICR4RK', 'B00QUC2BUO']",2,"['Davina Porter', 'Catherine Harvey']"
8473,Cut Dead,Mark Sennen,2,"['B00LW5MCG2', 'B00IEAOSP6']",2,"['Stevie Lacey', 'Polly Lee']"
8474,House of War,James Carroll,2,"['B002V8MYZS', 'B002V0K5QQ']",2,"['Robertson Dean', 'James Carroll']"
8477,The Orphan Choir,Sophie Hannah,2,"['B00CLV7ZXQ', 'B00HUVCFIC']",2,"['Rebecca Shelbourne-Timm', 'Geraldine James']"
8480,The Amateur Spy,Dan Fesperman,2,"['B002V8MKQG', 'B002V5J3V4']",2,"['Phil Gigante', 'Jeff Harding']"
8481,Cycle of Lies,Juliet Macur,2,"['B00J0DHSOE', 'B00J9O8X1G']",2,"['Carrington MacDuffie', 'Carrington Macduffie']"
8482,The Amateurs,Sara Shepard,2,"['B01MQIHAMZ', 'B01LZ5KI6L']",2,"['Patricia Rodriguez', 'Renee Chambliss']"
8484,The Amazing Interlude,Mary Roberts Rinehart,2,"['B078119VJF', 'B00L9CWIQM']",2,"['Laurie Klein', 'Ella Porter']"
8487,Cypress Grove,James Sallis,2,"['B002V5CZQ4', 'B00FFC59JU']",2,"['Peter Brooke', 'Alan Nebelthua']"
8489,D-Day,Stephen E. Ambrose,2,"['B009YATOIG', 'B002V5D20M']",2,"['Stephen E. Ambrose', 'Jesse Boggs']"
8491,The American,Henry James,2,"['B06XTCLX52', 'B007BSPKV8']",2,"['Robin Lawson', 'Nicholas Clifford']"
8492,The American Agent,Jacqueline Winspear,2,"['0062897616', '1528857402']",2,"['Julie Teal', 'Orlagh Cassidy']"
8493,DEAD: Snapshot,TW Brown,2,"['B01G5QSDOW', 'B01MFA56V0']",2,"['TW Brown', 'Pamela Lorence']"
8496,Damascus Gate,Robert Stone,2,"['B002V9ZA80', 'B002UUKMIS']",2,"['George Guidall', 'Frank Muller']"
8497,Dandelion Wine,Ray Bradbury,2,"['B07815BZBZ', 'B004G6VZR6']",2,"['David Aaron Baker', 'Stephen Hoye']"
8499,The Apothecary Rose,Candace Robb,2,"['B004QP4BFU', 'B072KPQYG4']",2,"['Derek Perkins', 'Stephen Thorne']"
8500,The Nun's Tale,Candace Robb,2,"['B077KLX6YQ', 'B006M4NW58']",2,"['Derek Perkins', 'Stephen Thorne']"
8504,The Novice,Trudi Canavan,2,"['B002V5GU8S', 'B0032N2SW0']",2,"['Samantha Bond', 'Richard Aspel']"
8505,The Novice,Taran Matharu,2,"['B071HQF8XS', 'B01DYXGDVE']",2,"['Ralph Lister', 'Dominic Thorburn']"
8507,Dangerous Days,Mary Roberts Rinehart,2,"['1988565278', 'B002VA8Q2G']",2,"['Nicholas Clifford', 'Lynda Evans']"
8508,Hooked,Matt Richtel,2,"['B002V5BUTM', 'B002V1NX4Q']",2,"['Kirby Heyborne', 'Jason Singer']"
8511,Dangerous Kiss,Jackie Collins,2,"['B004Y7186U', 'B002V19ZFW']",2,"['Barbara Rosenblat', 'Jackie Collins']"
8512,The Nosferatu Scroll,James Becker,2,"['B007X55M3A', 'B00528BT14']",2,"['Philip Franks', 'Graeme Malcolm']"
8516,The No. 1 Ladies' Detective Agency,Alexander McCall Smith,2,"['B002UZMUJW', 'B0032N2PEG']",2,"['Adjoa Andoh', 'Lisette Lecat']"
8517,The Armies of Daylight,Barbara Hambly,2,"['B00BOV8AQA', '0008378762']",2,"['Clark Linden', 'Kristin Atherton']"
8518,Hong Kong,Stephen Coonts,2,"['B002VAESA0', 'B002VAA5MU']",2,"['Michael Cumpsty', 'Michael Prichard']"
8522,The Ninth Hour,Alice McDermott,2,"['B0748NF2XD', 'B0761YMN99']",2,"['Euan Morton', 'Ash Rizi']"
8526,Dancing with the Tiger,Lili Wright,2,"['B01HQD5NMS', 'B01LY7VHM0']",2,"['Timothy Andrés Pabon', 'Tim Andres Pabon']"
8527,The Angel Court Affair,Anne Perry,2,"['B00U696MZW', 'B00MNQMZEI']",2,"['Davina Porter', 'Deirdra Whelan']"
8529,The Angel Experiment,James Patterson,2,"['B00OP9OR92', '154915060X']",2,"['Kasey Lee Huizinga', 'Evan Rachel Wood']"
8530,Hot Blood,Stephen Leather,2,"['B002VAA2IM', '152930685X']",2,"['Paul Thornley', 'Martyn Read']"
8533,Hostage,Kristina Ohlsson,2,"['B017T1NC20', 'B0195BW3P4']",2,"['Maggie Mash', 'Justine Eyre']"
8535,Dance of Death,"Douglas Preston, Lincoln Child",2,"['B009KPTMN2', 'B002V0PWBE']",2,"['Rene Auberjonois', 'Scott Brick']"
8537,The Anna Karenina Fix,Viv Groskop,2,"['B075H3WLF4', '1419738704']",2,"['Julia Knippen', 'Viv Groskop']"
8538,The Annihilation Score,Charles Stross,2,"['B01B22QWD8', 'B0155E4902']",2,"['Carolina Guthrie', 'Elle Newlands']"
8542,Hornet's Nest,Patricia Cornwell,2,"['B00SHZSTVW', 'B007Y81ISY']",2,"['Karen White', 'Lorelei King']"
8543,The Odessa File,Frederick Forsyth,2,"['B002V5CPGY', 'B004YLILFW']",2,"['Frederick Davidson', 'David Rintoul']"
8544,The Odd Women,George Gissing,2,"['B07TJ942B4', 'B084BSGH4J']",2,"['Margaret Melosh', 'Jane Sappy']"
8546,The October List,Jeffery Deaver,2,"['B00EKQ157C', 'B00F0R9EKK']",2,"['Todd Boyce', 'January LaVoy']"
8551,Hope to Die,Lawrence Block,2,"['B01FDTXEZA', 'B002V5CVEK']",2,"['Lawrence Block', 'George Guidall']"
8552,The Ape Who Guards the Balance,Elizabeth Peters,2,"['B002V1O6CO', 'B002V5BP3S']",2,"['Samantha Eggar', 'Barbara Rosenblat']"
8555,Hope for the Troubled Heart,Billy Graham,2,"['B008HRPDFA', '0785239162']",2,"['Jack Garrett', 'Maurice England']"
8557,The Algebraist,Iain M. Banks,2,"['B076MGCL4G', 'B0032N4W7E']",2,"['Anton Lesser', 'Geoff Annis']"
8558,The Accidental Beauty Queen,Teri Wilson,2,"['1508283559', 'B07S5GS32V']",2,"['Joy Osmanski', 'Kelly Burke']"
8561,The Adventures Of Huckleberry Finn,Mark Twain,2,"['B002V59UR6', 'B005011OPY']",2,"['Richard Henzel', 'Tim Behrens']"
8562,The Past,Tessa Hadley,2,"['B01A780ONW', 'B01AAVKCV0']",2,"['Antonia Beamish', 'Caroline Lennon']"
8564,Crown of Blood,Nicola Tallis,2,"['1982586427', 'B075NR3X8W']",2,"['Charlotte Strevens', 'Anne Flosnik']"
8566,The Passenger,Lisa Lutz,2,"['B019HK81M2', 'B01DQ05IPM']",2,"['Edwina Wrenass', 'Madeleine Maby']"
8569,The Parting,Beverly Lewis,2,"['B002V5CPTQ', 'B002V5GZKQ']",2,"['Aimee Lilly', 'Rachel Botchan']"
8572,How the Other Half Lives,Jacob Riis,2,"['B0032EZ22C', 'B07PGJXDV2']",2,"['Danny Campbell', 'Kevin Franzen']"
8574,The Alexandria Link,Steve Berry,2,"['B002V1NJVI', 'B002V9Z256']",2,"['Erik Singer', 'Scott Brick']"
8575,Cruel Mercy,David Mark,2,"['B01N5YFUEV', 'B01N686BSP']",2,"['John Curless', 'Toby Longworth']"
8578,The Paris Wedding,Charlotte Nash,2,"['B07CHZL5ZV', 'B0735JSYVK']",2,"['Candice Miles', 'Candace Miles']"
8580,How the Light Gets In,Louise Penny,2,"['B00CPNK0FA', 'B00O3H419M']",2,"['Adam Sims', 'Ralph Cosham']"
8581,Cruel and Unusual,Patricia Cornwell,2,"['B004QYFMJA', 'B007Y81JU6']",2,"['C. J. Critt', 'Lorelei King']"
8582,The Paris Secret,Karen Swan,2,"['B01HIH2APA', 'B076DM1KDM']",2,"['Lucy Price-Lewis', 'Katie Scarfe']"
8584,How the Dead Live,Will Self,2,"['B00X0D4AKK', 'B004IUJBOO']",2,"['Nancy Linari', 'Buffy Davis']"
8588,The Path Between the Seas,David McCullough,2,"['B004KO0Z6Q', 'B002V8DF9W']",2,"['Edward Herrmann', 'Nelson Runger']"
8590,Crossing the Lines,Melvyn Bragg,2,"['B00BF17THU', 'B002VA9HFG']",2,"['Alan Robertson', 'Mark McGann']"
