,title,author,count,asin_list,narrator_count,narrator_list
1445,Psmith in the City,P. G. Wodehouse,3,"['B002V5BHY0', 'B002UZN410', 'B07RFNQ3N8']",3,"['Frederick Davidson', 'Jonathan Cecil', 'Graham Scott']"
1446,The Mark of Zorro,Johnston McCulley,3,"['B006VY35PG', 'B01CZ2EKQ0', 'B00A6F4L68']",3,"['Armando Durán', 'Bill Homewood', 'B. J. Harrison']"
1447,Three Men in a Boat (To Say Nothing of the Dog),Jerome K. Jerome,3,"['B004P95AYI', 'B016QSLH3I', 'B002V5ITA0']",3,"['Martin Jarvis', 'Steven Crossley', 'Richard Brown']"
1448,The Wishsong of Shannara,Terry Brooks,3,"['B002VA38KQ', 'B002V0TNZ0', 'B0187WF38Q']",2,"['Scott Brick', 'Charles Keating']"
1449,Deception,Jonathan Kellerman,3,"['B0039Y47KS', 'B0039Y5PXQ', 'B008RMGZ9I']",2,"['Jeff Harding', 'John Rubinstein']"
1450,Traffic,Tom Vanderbilt,3,"['B002V1LBF4', 'B002V8L6FW', 'B0036IOXDI']",2,"['Marc Cashman', 'David Slavin']"
1451,The Prime Minister,Anthony Trollope,3,"['B004NV9OAY', '1781982147', 'B008HQTF1E']",3,"['Simon Vance', 'Timothy West', 'David Shaw-Parker']"
1453,Three Men on the Bummel,Jerome K. Jerome,3,"['B002V0TNW8', 'B002V5H0MI', 'B073QMR4DQ']",3,"['Frederick Davidson', 'John Stanbridge', 'David Case']"
1455,The Man in Lower Ten,Mary Roberts Rinehart,3,"['B0746T8JGB', 'B077NK6KR9', 'B002VA3NDI']",3,"['Grover Gardner', 'Jim Killavey', 'Ella Porter']"
1457,Without Remorse,Tom Clancy,3,"['B002VA9AVM', 'B00IO1KSDG', 'B004FG2QGQ']",2,"['David Dukes', 'Michael Prichard']"
1459,A Million Little Pieces,James Frey,3,"['1684418364', 'B002V0LV8C', 'B00CJIDDKA']",3,"['Tim Flavin', 'Oliver Wyman', 'L.J. Ganser']"
1463,Tears of the Giraffe,Alexander McCall Smith,3,"['B002UUKQJS', 'B0032N8OWI', 'B002VAA804']",3,"['Adjoa Andoh', 'Lisette Lecat', 'Hilary Neville']"
1464,The Wings of the Dove,Henry James,3,"['B06XTF5SFN', 'B0035AOAJO', 'B004FON5YU']",3,"['Juliet Stevenson', 'Marvin Kane', 'Justine Eyre']"
1465,Ben-Hur,Lew Wallace,3,"['B002V9Z2WY', 'B004UBIUDO', 'B0784S8LJB']",3,"['Todd McLaren', 'Lawrence Skinner', 'Lloyd James']"
1467,Debt of Honor,Tom Clancy,3,"['B002V0QISU', 'B004JOAIDM', 'B00IO1JD2S']",2,"['John MacDonald', 'John Rubinstein']"
1468,Without Fail,Lee Child,3,"['B016J85CWW', 'B00BM7F5FK', 'B00455WR3E']",3,"['Jeff Harding', 'Kerry Shale', 'Dick Hill']"
1472,The Book Thief,Markus Zusak,3,"['B002V00YSK', 'B0032N4YNG', 'B008BK862U']",2,"['Dennis Olsen', 'Allan Corduner']"
1474,Persuader,Lee Child,3,"['B002V1A75E', 'B076HXF34R', 'B003CUSLG0']",3,"['Jeff Harding', 'Kerry Shale', 'Dick Hill']"
1475,Tarzan and the Jewels of Opar,Edgar Rice Burroughs,3,"['B005IZ9C0Q', 'B00K58WX4S', 'B002V5B24U']",3,"['Shelly Frasier', 'David Sharp', 'David Stifel']"
1478,In Chancery,John Galsworthy,3,"['B00JALXX4K', '1606462881', 'B002V0JUI0']",3,"['David Case', 'Flo Gibson', 'Neil Hunt']"
1479,Swann's Way,Marcel Proust,3,"['B0076Q1KVY', 'B00449RZE2', 'B0036GRR92']",3,"['Neville Jason', 'Simon Vance', 'Simon Callow']"
1480,No Time for Goodbye,Linwood Barclay,3,"['B002V5J1BQ', 'B0032NA8ZE', 'B00C6APJGM']",2,"['Christopher Lane', 'William Hope']"
1481,The Noonday Demon,Andrew Solomon,3,"['B0085WEHUE', 'B0036IPPJ4', 'B0149GD9FI']",2,"['Andrew Solomon', 'Barrett Whitener']"
1482,Rumpole and the Golden Thread,John Mortimer,3,"['B009CE66CQ', 'B003BXCZFQ', 'B00563IDGE']",3,"['Frederick Davidson', 'Patrick Tull', 'Bill Wallis']"
1483,The Burial Hour,Jeffery Deaver,3,"['B01N23TLLD', '1549146742', 'B01N3A7DJF']",2,"['Jeff Harding', 'Edoardo Ballerini']"
1486,Compulsion,Jonathan Kellerman,3,"['B002VA3B1C', 'B002UZJYY6', 'B002V1NLZW']",2,"['Jeff Harding', 'John Rubinstein']"
1488,This Could Change Everything,Jill Mansell,3,"['B07DFNL58V', 'B074MH4P3D', '1472267885']",2,"['Imogen Church', 'Esther Wane']"
1489,This Charming Man,Marian Keyes,3,"['B0036NI6LI', 'B0036IHCXQ', 'B00H8B2LVK']",3,"['Niamh Daly', 'Caroline Lennon', 'Sile Bermingham']"
1490,Make Me,Lee Child,3,"['B011PVUGUG', 'B00YZ56T4W', 'B011PVWUKU']",2,"['Jeff Harding', 'Dick Hill']"
1494,Triptych,Karin Slaughter,3,"['B002V8L1JS', 'B0032NAK4S', 'B002V8L1SO']",2,"['Brian Keith Lewis', 'Michael Kramer']"
1495,Hour Game,David Baldacci,3,"['B002V1A5OC', 'B002UZN7C6', 'B06XQ36WNF']",2,"['Scott Brick', 'Ron McLarty']"
1496,In the Moon of Red Ponies,James Lee Burke,3,"['B002V5CJB0', 'B002V8KMA2', 'B0091ZF898']",2,"['Will Patton', 'Tom Stechschulte']"
